id,user_name,screen_name,location,url,followers_count,friends_count,status_count
253342973,Peter Khalil MP,PeterKhalilMP,"Melbourne, Victoria",https://t.co/cblCPVlsdp,3776,2601,3151
2902145304,Madeleine King,MadeleineMHKing,"Western Australia, Australia",,2089,1307,3678
18826874,Matt Keogh MP,mattkeogh,"Perth, Western Australia",https://t.co/4yZBYV1485,3130,1018,4573
753759070750998529,Melissa Price MP,Melissa4Durack,"Western Australia, Australia",https://t.co/WO1A05v0oj,3001,91,800
569737805,Nola Marino,NolaMarinoMP,"Western Australia, Australia",https://t.co/TAEaqsLVYX,2849,285,682
196039332,Ken Wyatt MP,KenWyattMP,"Perth, Western Australia",https://t.co/76yXL2B24y,20807,3812,5871
2579671633,Ian Goodenough,IanGoodenoughMP,"Perth, Western Australia",https://t.co/UZyhp4i5Ce,2391,178,810
1559788717,Christian Porter,cporterwa,"Authorised by Christian Porter, Liberal Party of Australia, Perth.",https://t.co/s27Q1t8o2H,11133,431,743
1069512940926062592,Patrick Gorman MP,PatrickGormanMP,"Perth, Western Australia",https://t.co/cNvVuigmKN,1013,1505,928
22147650,Steve Irons MP,SteveIronsMP,"Perth, Western Australia",https://t.co/xrpcbuXCbx,6378,384,739
408200652,David Feeney,Feeney4Batman,Victoria,,12384,1023,12640
163767099,Ged Kearney,gedkearney,Melbourne,https://t.co/H9IjTSXorW,20493,1188,17272
47356637,Tim Hammond,TimHammond1,"Perth, Western Australia",,2415,1335,1363
16734909,Malcolm Turnbull,TurnbullMalcolm,"Sydney, NSW, Australia",https://t.co/8b99pSaleZ,983662,183,11157
128440862,Eric Abetz,SenatorAbetz,"Authorised by Eric Abetz, Liberal Party, Hobart",https://t.co/PZboL2BFTE,24379,806,2935
940479842859958272,Fraser Anning Official,fraser_anning,"Queensland, Australia",https://t.co/bOzZlGKMbK,26769,73,488
52585003,Chris Back,senatorback,,,1693,80,109
14241904,Andrew Bartlett,AndrewBartlett,Brisbane / Meanjin,https://t.co/yr0YgAI1Ag,15959,14861,20137
108209937,Catryna Bilyk,Catbilyk,,,2250,449,4372
22196776,Simon Birmingham,Birmo,"Authorised by Simon Birmingham, Liberal Party, Adelaide",https://t.co/a0bA7ezcKF,22391,1713,11193
2899168711,George Brandis,SenBrandis,,,306,192,312
540485961,Carol Brown,SenCarolBrown,Hobart,https://t.co/SDQO1egf2l,3656,798,272
991497889829404673,Senator Brian Burston,Senator_Burston,"New South Wales, Australia",https://t.co/DxPZllr8YG,461,500,121
27535887,David Bushby,DavidBushby,"Sydney, New South Wales",https://t.co/yvvGrt7I4r,847,575,1492
632817143,Matthew Canavan,mattjcan,Rockhampton,https://t.co/WE9jpiRMXC,10346,2701,2670
711691441,Kim Carr,SenKimCarr,Melbourne,http://t.co/Zoe6RBZQEr,9287,1400,4429
274249799,Michaelia Cash,SenatorCash,Perth and Canberra,https://t.co/E2wtQd2EuA,23386,670,2731
108922449,Anthony Chisholm,AnthonyChisholm,"Brisbane, Queensland",https://t.co/DyVRDjyTQZ,4521,1031,3645
171888155,Senator Raff Ciccone,SenRaffCiccone,"Authorised: R.Ciccone,ALP,Melb",https://t.co/OD6bMAKykM,1292,2165,2599
170526680,Richard M Colbeck,richardmcolbeck,"Devonport,Tasmania, Australia",https://t.co/qLuuxTXIZX,5621,2477,1841
151724511,Stephen Conroy,Senator_Conroy,,,83,5,8
43304756,Mathias Cormann,MathiasCormann,"Authorised by Mathias Cormann,
Liberal Party, Perth",,40879,736,6895
762042892621721600,Rod Culleton,RodCulletonGAP,Western Australia ,https://t.co/BmTS0QEWGd,1276,197,328
62755938,Sam Dastyari,samdastyari,,,37284,1405,7942
1353262172,Bob Day,senatorbobday,SA 5067,http://t.co/AZQTUtc2Ik,2789,629,859
37611292,Richard Di Natale,RichardDiNatale,"Melbourne, Victoria",https://t.co/eDzjLGCfyz,126897,1200,6252
954263782070484992,Patrick Dodson,SenatorDodson,"Broome, Western Australia",https://t.co/nPKAMbUN60,7506,416,335
1035344614956269568,Senator Jonathon Duniam,DuniamJonathon,"Hobart, Tasmania",https://t.co/8K2Gav2AuO,207,0,128
236713668,Mehreen Faruqi,MehreenFaruqi,Sydney,https://t.co/uo3dnAImkP,21992,2200,9855
1929717391,C Fierravanti-Wells,Senator_CFW,Retweet is not an endorsement,https://t.co/n97vII5X8k,5173,287,2011
1976865085,Mitch Fifield,SenatorFifield,"Victoria, Australia",https://t.co/6pjQgpou8W,9884,930,1472
252986202,Alex Gallacher,mceachian,,,519,41,68
227531567,Katy Gallagher,SenKatyG,"Canberra | Authorised by K.Gallagher, ALP, 11 London Circuit Canberra ACT 2601.",https://t.co/7yGJBmz6fI,25493,1138,7385
827330353496854528,Sen. Peter Georgiou 🇦🇺,SenatorGeorgiou,"Perth, Western Australia",https://t.co/R883S9Ql67,1866,503,1366
202574467,Stirling Griff,Stirling_G,"Adelaide, South Australia",https://t.co/OFUCJHV9s2,1675,596,281
1471232930,Pauline Hanson 🇦🇺,PaulineHansonOz,"QLD, Australia",https://t.co/ZAJU3W1H6J,54980,293,4496
4553061,💧Sarah Hanson-Young💚,sarahinthesen8,"Adelaide, South Australia",https://t.co/VNEiMSzR32,157890,1794,11121
180258856,Derryn Hinch,HumanHeadline,Melbourne,https://t.co/agIhig6Bmu,75236,1409,31887
2899264434,Jane Hume,SenatorHume,"Melbourne | Authorised by Senator Jane Hume, Liberal Party of Australia, Richmond, VIC.",,3217,886,829
778120534282436608,Skye Kakoschke-Moore,SkyeKM,"Adelaide, South Australia",https://t.co/eGFcdDLl2i,1010,141,294
18925120,Kristina Keneally,KKeneally,"New South Wales, Australia",,87502,1471,6702
20494141,Kimberley Kitching 🇦🇺,kimbakit,"Authorised: Kimberley Kitching, Labor's Shadow Assistant Minister for Government Accountability, Australian Labor Party, Melbourne, Victoria",,13504,6167,8585
2186207924,Jacqui Lambie,JacquiLambie,"Burnie, Tasmania",https://t.co/NxUODdW4Gl,43203,4654,3736
1845164558,David Leyonhjelm,DavidLeyonhjelm,Australia,https://t.co/WWVz12KuIv,19743,251,14492
133599328,Senator Sue Lines,linessue,Perth,,7597,2412,3235
25298569,Scott Ludlam,Scottludlam,yuin country,https://t.co/GynELMS0U0,117831,3550,14361
44288405,Senator Jenny McAllister,jennymcallister,Sydney,https://t.co/c5isjaSFYS,5730,2362,3325
760359549295484928,malarndirri mccarthy,Malarndirri19,NT & Christmas & Cocos K Isles,,4221,1030,2947
389808189,Senator James McGrath,SenatorMcGrath,On the road in Queensland,https://t.co/mVR4Yn9aE5,5067,981,1257
525812268,Senator Bridget McKenzie,senbmckenzie,"Authorised Bridget McKenzie, The Nationals, Wodonga VIC",https://t.co/wGKHyPcKup,12849,1927,7898
156077839,Nick McKim,NickMcKim,"muwinina land, never ceded",https://t.co/Em1WMW0Fuc,17649,918,3732
961051403098537984,"Jim Molan AO, DSC",JimMolan,"Queanbeyan, New South Wales",,5526,160,447
1132531790,Claire Moore,SenClaireMoore,"Brisbane, Queensland",https://t.co/PUqnPlBUNe,5231,1168,2144
145444495,Deborah O'Neill,Deborah_ONeill,Gosford,,9313,2087,2802
1634834588,Barry O'Sullivan,BarryOQld,Queensland,,219,12,4
2422691344,Stephen Parry,ParrySenator,Parliament of Australia,http://t.co/uoo9muGmNy,613,5,22
28791311,James Paterson,SenPaterson,"Melbourne, Australia",https://t.co/HeKKUUlmcj,6885,1658,9340
926019424154349568,Rex Patrick,Senator_Patrick,"Adelaide, South Australia",https://t.co/gVVQkXWmuN,3618,454,860
2300779218,Marise Payne,MarisePayne,"Authorised by M. Payne, Sydney",https://t.co/jXO9sQBcJR,27668,1921,2672
929373746,Helen Polley,polley_helen,Tasmania,,5341,1382,19143
27647260,Louise Pratt,Louise_Pratt,Australia,https://t.co/d6W7aUHN4P,7224,1619,1179
2393844469,Linda Reynolds,lindareynoldswa,"Perth, Western Australia",https://t.co/ZeiEu77rhh,7318,1108,2481
29863656,Lee Rhiannon,leerhiannon,Sydney,https://t.co/stX6vCM0DD,20097,3778,11150
77209956,Janet Rice,janet_rice,Melbourne,https://t.co/0xS2X9veBO,10977,1881,9895
762470063261704192,Malcolm Roberts 🇦🇺,MRobertsQLD,"Brisbane, Queensland",https://t.co/ZAJU3W1H6J,13707,132,19028
44302241,Anne Ruston,Anne_Ruston,Authorised by Anne Ruston...,https://t.co/xdBlSyamDN,5250,1052,1741
36872712,Senator Scott Ryan,SenatorRyan,"Victoria, Australia",https://t.co/aCWz82UnQ7,6602,1021,736
338036917,Zed Seselja,ZedSeselja,"Authorised by Zed Seselja, Liberal Party, Canberra.",https://t.co/roNY2iwDAM,5702,932,2649
25298878,Rachel Siewert,SenatorSiewert,"Perth, WA",https://t.co/ZeIkC2lEVS,14684,476,6486
29401651,Lisa Singh,Lisa_Singh,"Tasmania, Australia",https://t.co/GUl5CWujHK,10496,1631,4716
3397614014,Arthur Sinodinos AO,A_Sinodinos,"Sydney, New South Wales",https://t.co/W0l97Fptj4,8756,318,682
538191458,Dean Smith,DeanSmithWA,"Western Australia, Australia",https://t.co/R23Y8SPwF1,4937,466,2508
1108151186102771712,SenatorDuncanSpender,SenatorSpender,"Sydney, New South Wales",https://t.co/PjOmTFZySl,241,112,19
179129274,Senator Jordon Steele-John,Jordonsteele,"Western Australia, Australia",https://t.co/Y0cdYExgyl,10383,1125,2498
570513390,Senator Glenn Sterle,GlennSterle,"Perth, Western Australia",https://t.co/NmpfHXwHnS,3604,1555,1326
996359407939174401,Amanda Stoker,stoker_aj,"Queensland, Australia",,1256,124,144
100934451,Tim Storer,storertim,"Adelaide, South Australia",,3732,698,1591
786867271,Anne Urquhart,AUSenator,,,3104,466,1224
62776140,Larissa Waters,larissawaters,"Brisbane, Australia",https://t.co/v86XIqw6VJ,64720,1558,8323
304856790,Senator Murray Watt,MurrayWatt,"Gold Coast, Queensland",https://t.co/tSFSgwl6gx,8888,1482,11483
573244782,Peter Whish-Wilson,SenatorSurfer,Launceston/Canberra,https://t.co/TEBsCnHfOD,16993,3185,13744
58992129,John Williams,SenatorWacka,NSW,http://t.co/wGHjdY8WVF,3952,86,888
529147678,Senator Penny Wong,SenatorWong,"Adelaide, South Australia",http://t.co/BvublfyE6Z,229175,502,8847
1461512112,Nick Xenophon,Nick_Xenophon,Adelaide,https://t.co/ZoterrSJBd,38904,1799,1454
2904009019,Real Mark Latham,RealMarkLatham,One Nation Member of the NSW Legislative Council. Media commentator and Outsider.,https://t.co/G7VziHypW5,32240,789,11143
